date,PriceUSD,CapMrktCurUSD,CapMVRVCur,SplyCur,IssTotUSD,IssTotNtv,HashRate,AdrActCnt
2021-04-22,254.776325918696,17195393932.1893784085543333872,2.01649272,67492118.3127382,1726109.6080991654,6775,290.83285023236358396637965593877605701994,342076
2021-04-23,240.308762689062,16220677666.0892609473204095684,1.90679479,67499318.3127382,1730223.0913612464,7200,309.076978098634605776544238403527,325826
2021-04-24,226.941172867656,15319991421.5167402161275756592,1.79682464,67506443.3127382,1616955.856682049,7125,297.511349925914695607450991359429427430032,291926
2021-04-25,222.853588497587,15045746824.94110175394803686374,1.76503201,67514043.30697602,1693687.2725816612,7600,315.763596639850020294669362409161234913632,311413
2021-04-26,245.734835257415,16592407605.60959959771687053755,1.94020623,67521593.29884397,1855298.00619348325,7550,313.686202903526366735935498458141641271592,273284
2021-04-27,259.529888931462,17525736978.8813887347699939063,2.02922086,67528780.79298865,1865371.076694883125,7187.5,304.580691160200528055824102524483949175824,334714
2021-04-28,258.710181209357,17472255529.65802029397677875058,2.01749632,67536018.28881594,1872414.9365027212875,7237.5,314.225171894470549032339104077856154784598,300749
2021-04-29,255.335223189533,17246178674.69535859634864483926,1.9884529,67543280.78697422,1854372.0584139834125,7262.5,315.310580795337036553852737781381327995536,320592
2021-04-30,271.678779260227,18352011782.51528783890391175346,2.10817359,67550405.78615398,1935711.302229117375,7125,309.340842781468568309964570530948020409598,324620
2021-05-01,277.16695992993,18724881727.53581097782980458,2.14741862,67558130.782506,2141114.76545870925,7725,332.603140636504262798452607433339887630574,310024
2021-05-02,268.962596311921,18172751871.02603267894554230415,2.08214912,67566093.27919615,2141614.6731336709625,7962.5,342.677069087322563592599485026171691386156,300869
2021-05-03,295.263731832104,19952108831.20455293251456883616,2.27373113,67573855.77768804,2291984.7183467073,7762.5,334.069795095161655053685026267717090625,339861
2021-05-04,310.220897214318,20965168212.84361180001873011218,2.36757464,67581418.27679551,2346045.535183279875,7562.5,345.533895893804384246943060826868254380948,360561
2021-05-05,354.487575203619,23959591268.74818928291727360073,2.6402229,67589368.27330467,2818176.22286877105,7950,371.5524660770889514309098812377243409594,380890
2021-05-06,354.690866389383,23976005071.6079001887473565496,2.62244493,67596905.7666312,2673482.4054099743625,7537.5,352.2737993209417343028781895044365625,360708
2021-05-07,345.99588623435,23390876549.720703266118552666,2.49045188,67604493.23341836,2625243.786803130625,7587.5,365.316959939957518252685030789600182305648,370830
2021-05-08,345.5170220342,23361016812.352419436013769198,2.48064326,67611768.22726869,2513636.335298805,7275,363.608203248330452705126081411920485713956,325230
2021-05-09,385.473617544608,26065174107.009754111294214392,2.74511616,67618568.22534275,2621220.5993033344,6800,339.867458734895610283269858452034102381392,239048
2021-05-10,361.784409293739,24465935042.94335938099569693216,2.47998847,67625730.72373344,2591280.8315664055875,7162.5,357.985396000153160337693549818730066963956,440452
2021-05-11,375.415735080899,25390363163.09321273416937346668,2.51333836,67632655.72132132,2599753.965435225575,6925,341.14337160076442503887985774324519849116,391273
2021-05-12,322.568527158381,21818359605.85446530757800390115,2.16732027,67639455.70902415,2193465.9846769908,6800,334.469096021908883417854714819768521012712,358330
2021-05-13,312.043063537105,21108451249.53916303146109283505,2.05436359,67645955.69043681,2028279.9129911825,6500,319.713108783048935238847604214307964493644,349050
2021-05-14,326.938124350765,22118387650.55825065006930208795,2.14566342,67653130.67872103,2345781.042216738875,7175,348.756139649768243910429186064890293383952,387134
2021-05-15,301.121245228009,20374098523.30934700767072972658,1.97616768,67660780.65292962,2303577.52599426885,7650,355.589419487699161269486258417315,353579
2021-05-16,294.267168797231,19912494510.72685616082886544222,1.9338935,67668080.64968962,2148150.3322197863,7300,339.3206228895319259044239185101032114168,347743
2021-05-17,281.707483939102,19064675292.81924985541128152124,1.85641041,67675430.64968962,2070550.0069523997,7350,341.6447352549598389053521737123653657496,361641
2021-05-18,292.644321343521,19806824109.97220085753894240798,1.92722432,67682243.13747038,1993639.4391527368125,6812.5,324.36656379970525643806684523575194733416,363354
2021-05-19,194.849709788841,13189146568.86012064898001352131,1.3110463,67688818.13143691,1281136.841861629575,6575,314.917718300429693717026972441120352729424,361671
2021-05-20,211.305347711832,14304535931.52090154531141929,1.42783175,67696043.12631375,1526681.1372179862,7225,346.050269316430366908656504561470895114712,369554
2021-05-21,178.762577129019,12102734715.25198098827296336095,1.21737796,67702843.12089005,1215585.5244773292,6800,323.949030248859781863507859489326688905368,361114
2021-05-22,171.300045598743,11598634975.5453394170437575998,1.16792773,67709468.1148786,1134862.802091672375,6625,303.70914592341413978556159107445008916483,339342
2021-05-23,143.299481962513,9703765249.7908022170746952914,0.98632315,67716680.5971378,1033547.5136546250125,7212.5,330.64184300344401083599966349463867646017,337614
2021-05-24,182.954550271685,12390396687.1123105587691207117,1.25400545,67723905.57497882,1321846.625712924125,7225,331.21487876039272378760973111593035292034,364314
2021-05-25,182.359387337718,12351555639.16751493185674542114,1.25080912,67731943.05754723,1465713.575726908425,8037.5,362.377140998646577163134976214240183601488,354757
2021-05-26,198.358539341967,13436711855.04055173510369005559,1.35720005,67739518.04452377,1502565.935515400025,7575,337.555780503481864329011574594385849323932,294188
2021-05-27,193.744541019434,13125716628.72962280011665219466,1.32702396,67747543.02580849,1554799.94168095785,8025,357.608599210786747223186148591437124323932,322935
2021-05-28,176.128975326915,11933740778.3349790173397317774,1.20736339,67755692.98682756,1435451.14891435725,8150,379.224133596739341087525578705003068155616,298184
2021-05-29,164.28516647528,11132446368.7468100960720807664,1.1287674,67762942.98257238,1191067.45694578,7250,358.32424281004407273164633764172714040892,287581
2021-05-30,171.013935853619,11589655947.59485092017140571068,1.17711247,67770242.75679572,1248401.7317314187,7300,360.79544647246482214348209037644216802277,308183
2021-05-31,187.327497108187,12696550583.02638100567312717249,1.28836354,67777292.59732627,1320658.85461271835,7050,348.43943883595235626891583814330969156831,286416
2021-06-01,183.130563219048,12413419174.26187036854913479096,1.26030315,67784530.09732627,1325407.4512978599,7237.5,365.499242704634470937929639269635767738692,315596
2021-06-02,187.848326801519,12734457405.07909075676537460413,1.29414739,67791167.59732627,1246843.2691450823625,6637.5,335.507837747511579046554602632882021875,323539
2021-06-03,192.991005496351,13084390700.05431506193934144077,1.33054658,67797930.09732627,1305101.6746690736375,6762.5,341.826252366626644267003068615055043595726,325624
2021-06-04,179.215842131601,12151659402.91797326218257445827,1.23777861,67804605.09732627,1196265.746228436675,6675,332.915125352485896305127506869659610526834,337923
2021-06-05,172.222187192451,11678606974.68145173796302798777,1.19056389,67811280.09732627,1149583.099509610425,6675,320.874272366300271856095603655665810215846,291462
